pais,idioma_show,keyword,podcast_id,nombre_podcast,editorial,total_episodios,episodios_descargados,episodio_id,nombre_episodio,fecha_lanzamiento,duracion_min
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4kw75czU2K1Hi2VOoqmktI,Bate-Papo 701 - Ataque ucraniano ao território russo,2020-12-15,33.98
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5oWtsogSX9I1T3rkffCvu8,Bate-Papo 700 - Quem é o candidato a Vice-Presidente de Kamala Harris?,2020-12-15,34.94
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1YRtA9yvFeybrlS7Q2SHyJ,Bate-Papo 699 - Pânico japonês se espalha pelo mundo,2020-12-15,36.3
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2oudDtYx2D14SorHXowpwh,Petit Invest 40 - O que a Super Quarta indica para o futuro de Brasil e EUA?,2020-12-15,10.84
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4nIfXMbP671v2s9bpjBOE4,Bate-Papo 698 - Como reagirão o Irã e seus aliados?,2020-12-15,31.35
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,1McfHobRohQDr2WQqFg3Bz,Bate-Papo 697 - Protestos na Venezuela,2020-12-15,31.76
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2p2BAABuzWhRm1zdj1dz8t,"Bate-Papo 696 - Eleição, contestação e isolamento na Venezuela",2020-12-15,34.38
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,23uNJ4J69qXzML7kfQnyrw,Petit Invest 39 - Kamalanomics: o que ela pensa sobre economia?,2020-12-15,15.2
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6JOUGW1JLXsc8xdZsul9Vp,Bate-Papo 695 - A hora da verdade na Venezuela,2020-12-15,30.4
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4LGdF1c2h0khjfCMe9twlA,Bate-Papo 694 - Eleições na Venezuela,2020-12-15,31.7
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5ZZHZdbdIPWpyU1dlNebVF,Bate-Papo 693 - Pesquisas eleitorais na Venezuela e nos EUA,2020-12-15,32.09
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0ALfeAlgV9iE1ZhBOMAkjT,Bate-Papo 692 - BIDEN ABANDONA DISPUTA,2020-12-15,34.35
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0rFE4vrn30Ip3MiR1KJT5g,Bate-Papo 691 - As negociações de paz em Gaza: a quantas anda?,2020-12-15,33.84
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3sNxLS2CVSBjOgWT0mo91O,Bate-Papo 690 - O futuro do trumpismo,2020-12-15,30.27
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,6LcrFXzOPmPdZhye8JMVgP,Bate-Papo 689 - Macron aceita renúncia do primeiro-ministro,2020-12-15,33.18
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,3LUR7OUQCgXTsysTWfmqqM,Bate-Papo 688 - O atentado contra Trump,2020-12-15,32.49
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,7hybI5y6zChYIqDLyp3IsK,Petit Invest 38 - Quanto custa a fragilidade de Biden?,2020-12-15,14.6
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5PHg1wvm4ZO7fu6QxpaYP6,Bate-Papo 687 - A Cúpula da OTAN e as gafes de Biden,2020-12-15,32.61
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,2cQI4fcmi6PF8vw9bQIfph,Bate-Papo 686 - Biden chega às eleições? Pressão aumenta,2020-12-15,30.25
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0G3tpUT73SoE9sSoIxCOaR,Bate-Papo 685 - Biden e a Cúpula da OTAN,2020-12-15,33.24
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4GuUtEiA0cemiUlRxAkWOv,Bate-Papo 684 - Esquerda surpreende nas eleições francesas,2020-12-15,36.09
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,0CSNI9J3TDCgqjtwyws76p,Petit Invest 37 - É hora de dolarizar os investimentos?,2020-12-15,11.53
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,624JXvB4nvk0YYMRzQEtQ6,Bate-Papo 683 - Eleições gerais no Reino Unido,2020-12-15,32.11
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,11YgOUkCZds56PrzRCtts6,Bate-Papo 682 - O impacto do debate nas pesquisas eleitorais nos EUA,2020-12-15,29.07
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,4dLbKoOjECTJSgf6DeyciP,Bate-papo 681 - A visita de Orban a Ucrânia,2020-12-15,33.44
BR,pt,technology,75MOMlaBaE9Smo2Vp87CO2,Petit Journal,Petit Journal,1000,877,5w5DSIZrVbgnF5Say9w9XE,Bate-Papo 680 - Eleições na França,2020-12-15,32.35
